./instances/100_20_01, 100, 20, ii, 0, rz, e, 446119, tei, 5273, 1845234
./instances/100_20_02, 100, 20, ii, 0, rz, e, 436445, tei, 6487, 1860806
./instances/100_20_03, 100, 20, ii, 0, rz, e, 566561, tei, 4784, 1725198
./instances/100_20_04, 100, 20, ii, 0, rz, e, 802166, tei, 3113, 1998180
./instances/100_20_05, 100, 20, ii, 0, rz, e, 167668, tei, 8113, 1601824
./instances/100_20_06, 100, 20, ii, 0, rz, e, 817489, tei, 6331, 1709549
./instances/100_20_07, 100, 20, ii, 0, rz, e, 555000, tei, 5776, 1841964
./instances/100_20_08, 100, 20, ii, 0, rz, e, 134483, tei, 9910, 1799785
./instances/100_20_09, 100, 20, ii, 0, rz, e, 895786, tei, 8303, 1911739
./instances/100_20_10, 100, 20, ii, 0, rz, e, 954176, tei, 4531, 1719905
./instances/100_20_11, 100, 20, ii, 0, rz, e, 790705, tei, 4996, 1898270
./instances/100_20_12, 100, 20, ii, 0, rz, e, 376655, tei, 7372, 1757376
./instances/100_20_13, 100, 20, ii, 0, rz, e, 928498, tei, 9352, 1767420
./instances/100_20_14, 100, 20, ii, 0, rz, e, 392615, tei, 9401, 1768605
./instances/100_20_15, 100, 20, ii, 0, rz, e, 634568, tei, 5750, 1503622
./instances/100_20_16, 100, 20, ii, 0, rz, e, 336908, tei, 10497, 1913446
./instances/100_20_17, 100, 20, ii, 0, rz, e, 41033, tei, 8341, 1840749
./instances/100_20_18, 100, 20, ii, 0, rz, e, 314392, tei, 11356, 1874131
./instances/100_20_19, 100, 20, ii, 0, rz, e, 684820, tei, 8792, 1746984
./instances/100_20_20, 100, 20, ii, 0, rz, e, 504020, tei, 6359, 1853848
./instances/100_20_21, 100, 20, ii, 0, rz, e, 663818, tei, 6059, 1787516
./instances/100_20_22, 100, 20, ii, 0, rz, e, 585675, tei, 7475, 1808858
./instances/100_20_23, 100, 20, ii, 0, rz, e, 142260, tei, 5176, 1854905
./instances/100_20_24, 100, 20, ii, 0, rz, e, 652703, tei, 10554, 1742005
./instances/100_20_25, 100, 20, ii, 0, rz, e, 341773, tei, 2437, 1783862
./instances/100_20_26, 100, 20, ii, 0, rz, e, 75521, tei, 5590, 1639177
./instances/100_20_27, 100, 20, ii, 0, rz, e, 225192, tei, 8316, 1922398
./instances/100_20_28, 100, 20, ii, 0, rz, e, 904500, tei, 12058, 1787417
./instances/100_20_29, 100, 20, ii, 0, rz, e, 100050, tei, 6204, 2077695
./instances/100_20_30, 100, 20, ii, 0, rz, e, 391442, tei, 7429, 1832161
