./instances/100_20_01, 100, 20, ii, 0, random, i, 593367, tei, 60438, 1893953
./instances/100_20_02, 100, 20, ii, 0, random, i, 482711, tei, 60477, 1870841
./instances/100_20_03, 100, 20, ii, 0, random, i, 155806, tei, 60064, 1736586
./instances/100_20_04, 100, 20, ii, 0, random, i, 218926, tei, 51944, 2006188
./instances/100_20_05, 100, 20, ii, 0, random, i, 212508, tei, 61195, 1596842
./instances/100_20_06, 100, 20, ii, 0, random, i, 187108, tei, 61997, 1725035
./instances/100_20_07, 100, 20, ii, 0, random, i, 696476, tei, 55408, 1846509
./instances/100_20_08, 100, 20, ii, 0, random, i, 58701, tei, 64767, 1824627
./instances/100_20_09, 100, 20, ii, 0, random, i, 983007, tei, 60503, 1893979
./instances/100_20_10, 100, 20, ii, 0, random, i, 24614, tei, 58833, 1720349
./instances/100_20_11, 100, 20, ii, 0, random, i, 754441, tei, 62684, 1895168
./instances/100_20_12, 100, 20, ii, 0, random, i, 834290, tei, 63481, 1757399
./instances/100_20_13, 100, 20, ii, 0, random, i, 761600, tei, 63006, 1785228
./instances/100_20_14, 100, 20, ii, 0, random, i, 912071, tei, 63517, 1751802
./instances/100_20_15, 100, 20, ii, 0, random, i, 193639, tei, 80624, 1490819
./instances/100_20_16, 100, 20, ii, 0, random, i, 918761, tei, 57738, 1916698
./instances/100_20_17, 100, 20, ii, 0, random, i, 215822, tei, 65049, 1832595
./instances/100_20_18, 100, 20, ii, 0, random, i, 763327, tei, 60582, 1898916
./instances/100_20_19, 100, 20, ii, 0, random, i, 469973, tei, 69782, 1717245
./instances/100_20_20, 100, 20, ii, 0, random, i, 458338, tei, 66699, 1874398
./instances/100_20_21, 100, 20, ii, 0, random, i, 985360, tei, 65913, 1760845
./instances/100_20_22, 100, 20, ii, 0, random, i, 46646, tei, 76519, 1790232
./instances/100_20_23, 100, 20, ii, 0, random, i, 968673, tei, 69592, 1826075
./instances/100_20_24, 100, 20, ii, 0, random, i, 94364, tei, 67302, 1743820
./instances/100_20_25, 100, 20, ii, 0, random, i, 46729, tei, 67976, 1748783
./instances/100_20_26, 100, 20, ii, 0, random, i, 836992, tei, 53616, 1639513
./instances/100_20_27, 100, 20, ii, 0, random, i, 207884, tei, 48283, 1936409
./instances/100_20_28, 100, 20, ii, 0, random, i, 912071, tei, 73101, 1789655
./instances/100_20_29, 100, 20, ii, 0, random, i, 531578, tei, 60290, 2075886
./instances/100_20_30, 100, 20, ii, 0, random, i, 569586, tei, 65115, 1827175
